N65;N64
N27;N45
N57;N68
N30;N60
N41;N30
N73;N62
N60;N80
N70;N90
N62;N92
N55;N57
N79;N88
N93;N74
N97;N98
N52;N82
N77;N79
N45;N53
N21;N20
N75;N78
N49;N67
N25;N5
N53;N42
N42;N72
N56;N26
N15;N35
N88;N58
N72;N93
N13;N25
N50;N70
N48;N27
N61;N41
N51;N31
N28;N17
N17;N47
N81;N51
N87;N85
N63;N55
N85;N73
N83;N63
N89;N86
N19;N38
N16;N8
N82;N100
N95;N75
N11;N22
N86;N56
N99;N96
N74;N94
N76;N46
N22;N43
N92;N95
N4;N15
N43;N23
N34;N16
N32;N12
N84;N54
N64;N34
N91;N83
N10;N21
N94;N97
N66;N87
N78;N69
N44;N66
N67;N59
N46;N65
N68;N89
N1;N2
N2;N32
N40;N10
N9;N18
N54;N52
N92;N71
N36;N44
N6;N7
N80;N50
N29;N19
N58;N76
N96;N84
N100;N81
N69;N49
N18;N48
N59;N39
N39;N29
N98;N99
N31;N61
N24;N36
N20;N11
N12;N3
N62;N40
N26;N4
N33;N13
N7;N28
N8;N9
N47;N77
N38;N37
N5;N14
N90;N91
N35;N24
N14;N6
N3;N33
